,Real classes,KNN,Logistic Regression,Decision Tree,Random Forest,SVM,GNBC,BNBC
0,6,6,6,6,6,6,6,6
1,4,4,4,4,4,4,4,4
2,3,3,3,3,3,3,3,3
3,2,2,2,2,2,2,4,4
4,2,2,2,2,2,2,2,2
5,8,8,8,8,8,8,8,8
6,3,3,3,3,3,3,3,5
7,6,6,6,6,6,6,6,6
8,5,5,5,5,5,5,5,5
9,5,7,5,5,5,5,5,7
10,4,4,4,4,4,4,4,7
11,2,2,2,2,2,2,3,5
12,1,1,1,1,1,1,1,1
13,5,5,5,5,5,5,5,5
14,2,2,2,2,2,2,2,2
15,7,7,7,7,7,7,7,7
16,8,8,8,8,8,8,8,8
17,9,9,9,9,9,9,9,9
18,6,6,6,6,6,6,6,6
19,3,3,3,3,3,3,3,5
20,7,7,7,7,7,7,7,7
21,4,4,4,4,4,4,4,4
22,3,3,3,3,3,3,3,3
23,1,1,1,1,1,1,1,1
24,4,4,4,4,4,4,4,4
25,4,4,4,4,4,4,4,4
26,0,0,0,0,0,0,0,0
27,2,2,2,2,2,2,2,2
28,6,6,6,6,6,6,6,6
29,6,6,6,6,6,6,6,6
30,8,8,8,8,8,8,8,8
31,3,2,3,3,3,3,3,3
32,7,7,7,7,7,7,4,4
33,6,6,6,6,6,6,6,6
34,7,7,7,7,7,7,7,5
35,5,5,5,5,5,5,5,5
36,2,2,2,2,2,2,2,2
37,0,0,0,0,0,0,0,3
38,8,1,8,8,8,1,1,1
39,2,3,2,2,2,2,2,2
40,7,5,7,7,7,7,7,5
41,4,4,4,4,4,4,4,4
42,7,7,7,7,7,7,7,7
43,7,7,7,7,7,7,7,7
44,5,5,5,5,5,5,5,5
45,6,6,6,6,6,6,6,6
46,4,4,4,4,4,4,4,4
47,6,6,6,6,6,6,6,6
48,1,9,1,1,1,9,9,9
49,2,2,2,2,2,2,2,2
50,1,1,1,1,1,1,1,1
51,8,8,8,8,8,8,8,8
52,0,0,0,0,0,0,0,0
53,7,7,7,7,7,7,3,3
54,0,0,0,0,0,0,0,8
55,8,8,8,8,8,8,8,8
56,8,8,8,8,8,8,8,8
57,3,3,3,3,3,3,3,3
58,5,5,5,5,5,5,5,5
59,3,3,3,3,3,3,3,3
60,8,8,8,8,8,8,8,8
61,8,8,8,8,8,8,8,8
62,1,1,1,1,1,1,3,3
63,2,2,2,2,2,2,2,2
64,3,3,3,3,3,3,3,3
65,8,8,8,8,8,8,8,8
66,9,9,9,9,9,9,9,9
67,5,5,5,5,5,5,5,3
68,7,7,7,7,7,7,7,7
69,5,5,5,5,5,5,5,5
70,1,1,1,1,1,1,1,1
71,2,2,2,2,2,2,2,2
72,6,6,6,6,6,6,6,6
73,1,1,1,1,1,1,3,1
74,9,9,9,9,9,9,9,9
75,2,2,2,2,2,2,2,2
76,9,9,9,9,9,9,9,9
77,6,6,6,6,6,6,6,6
78,5,5,5,5,5,5,3,5
79,6,6,6,6,6,6,6,6
80,6,6,6,6,6,6,6,6
81,3,3,3,3,3,3,3,3
82,3,3,3,3,3,3,3,3
83,1,1,1,1,1,1,1,1
84,8,8,8,8,8,8,8,8
85,5,5,5,5,5,5,5,5
86,9,9,9,9,9,9,9,9
87,8,8,8,8,8,8,8,8
88,3,3,3,3,3,3,3,3
89,9,9,9,9,9,9,9,9
90,1,1,1,1,1,1,1,1
91,0,0,0,0,0,0,0,0
92,1,1,1,1,1,1,1,1
93,5,5,5,5,5,5,5,5
94,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0
96,9,9,9,9,9,9,9,9
97,1,1,1,1,1,1,1,1
98,9,9,9,9,9,9,9,9
99,5,5,5,5,5,5,5,5
100,7,7,7,7,7,7,7,7
101,0,0,0,0,0,0,0,0
102,4,4,4,4,4,4,4,4
103,7,7,7,7,7,7,7,7
104,4,4,4,4,4,4,4,4
105,2,2,2,2,2,2,2,2
106,7,7,5,7,7,7,3,3
107,6,6,6,6,6,6,6,6
108,4,4,4,4,4,4,4,4
109,5,5,5,5,5,5,5,5
110,0,0,0,0,0,0,8,8
111,3,3,3,3,3,3,3,3
112,4,4,4,4,4,4,4,4
113,3,3,3,3,3,3,3,3
114,9,9,9,9,9,9,9,9
115,7,7,7,7,7,7,7,7
116,1,1,1,1,1,1,1,1
117,3,3,3,3,3,3,3,3
